block_time,block_date,block_height,block_hash,tx_id,index,value,address,type,script_asm,script_hex
2009-06-30 18:00:19.000 UTC,2009-06-30,18428,0x00000000f8f39239005f826de879c69fce646f668c84793686d8b8e743415662,0x1643dfcf5be0a7d8e864cec578839d050592b8acb27ae86fbf30c0d8462e3a35,0,50,<nil>,pubkey,047a8ec4138f61e9ac5c84e0bcabea17b096e2e8549b02790b602ab5dc852eeb181de1fcbe86f30bdbec55a8e4b4c028288c9402c96dc98017eff2875743a8ab49 OP_CHECKSIG,0x41047a8ec4138f61e9ac5c84e0bcabea17b096e2e8549b02790b602ab5dc852eeb181de1fcbe86f30bdbec55a8e4b4c028288c9402c96dc98017eff2875743a8ab49ac
2009-10-01 03:18:34.000 UTC,2009-10-01,24106,0x000000000fb3a0f918dde5ee565576686ff11c22b128f686525133b9f403da2c,0x1800e5b7facb9e44277249145b562c0272dbc43b2b25468874e34952adb7e20b,0,50,<nil>,pubkey,042a6311bd35175309f19d25a986aed83ce5fe81d24f95eb9e1f09176a3ebd7f36f92852f61f92788264cafb7ef35fcd1d3abc1cd205edaa2e66c685e30fb45a3f OP_CHECKSIG,0x41042a6311bd35175309f19d25a986aed83ce5fe81d24f95eb9e1f09176a3ebd7f36f92852f61f92788264cafb7ef35fcd1d3abc1cd205edaa2e66c685e30fb45a3fac
2009-10-01 04:22:18.000 UTC,2009-10-01,24110,0x000000002ddac97bf612f2d4ec67220101cde016e724f65c788d50c452ca4494,0x486244f643461ce06adc28fba7243ba64072ef792866af3861e901a60765a5ea,0,50,<nil>,pubkey,040f73a598c055d97cb9c3fba4def3028d212192baefab3ce832af05fdda60282f390cd59bef11fc08bc5c56bd5f031c06035393c30049c5d9d1c5452d0b340419 OP_CHECKSIG,0x41040f73a598c055d97cb9c3fba4def3028d212192baefab3ce832af05fdda60282f390cd59bef11fc08bc5c56bd5f031c06035393c30049c5d9d1c5452d0b340419ac
2009-10-01 10:31:55.000 UTC,2009-10-01,24134,0x00000000396cac25dd9709447df5243788d9b207eacf081bf60166a2aec46018,0x09cd9f85b1c0c296d53998a0e4d6e46a9d14046d19f03c8c435a0a5aca580e61,0,50,<nil>,pubkey,041aa7ab997c461dac0f891c3bce317fb205e285c00638546426c1d94f303f58c87790477dd6cb225ba52c7a89303200575ca6c9b6242d9034f2cf8df8b299becb OP_CHECKSIG,0x41041aa7ab997c461dac0f891c3bce317fb205e285c00638546426c1d94f303f58c87790477dd6cb225ba52c7a89303200575ca6c9b6242d9034f2cf8df8b299becbac
2009-10-01 11:27:05.000 UTC,2009-10-01,24136,0x00000000962cbefeb8c11ad6695038283706117c1a3c9894c494f194d3927188,0x2a80ca0b7958ff23244093b737e618b995d06d77c1220228183b05d1589a4744,0,50,<nil>,pubkey,04387a3e8d6ece7d7cb3989c9395878940617e29726ff85e40af92c07e97d357d9ca7dd5b26047e21c4e433655af370a627aa7046654eca32b4587523be042c841 OP_CHECKSIG,0x4104387a3e8d6ece7d7cb3989c9395878940617e29726ff85e40af92c07e97d357d9ca7dd5b26047e21c4e433655af370a627aa7046654eca32b4587523be042c841ac
