column_name,data_type
block_time,timestamp(3)
block_date,date
block_height,bigint
block_hash,varbinary
tx_id,varbinary
index,integer
spent_block_height,bigint
spent_tx_id,varbinary
spent_output_number,bigint
value,double
address,varchar
type,varchar
coinbase,varbinary
is_coinbase,boolean
script_asm,varchar
script_hex,varbinary
script_desc,varchar
script_signature_asm,varchar
script_signature_hex,varbinary
sequence,bigint
witness_data,array(varbinary)
